,date,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,#Samples,Std-Int,Std-LeW,Std-TeS,Std-RMSE,Position,Time Delay,elevation of avg coord
79,1/14/14,-1276.5554,6.454906361,3467271.227,4926.121705,72.58597865,-38.50770797,3246.58,150,256818.356,2.190311104,994.7952869,885.6109015,2355.413333,0.004886534,3249
80,1/31/14,-1249.868839,5.338504643,3197198.074,4654.811281,72.59138666,-38.28760701,3256.619835,121,189529.3598,1.266308934,922.3033948,865.0779928,1073.578512,0.004876613,3259
81,2/10/14,-1498.076507,4.811122454,3058627.549,4613.971331,72.5806035,-38.36831263,3252.645833,144,247183.5999,1.063018096,765.3679541,844.2066741,2358.736111,0.004830954,3256
82,3/1/14,-1370.86332,5.194236766,3092043.097,4823.087537,72.57862892,-38.5298912,3245.540323,124,202840.5717,1.2139046,1049.395728,1031.443192,852.5322581,0.004811967,3248
83,3/10/14,-1300.290262,5.017776266,3100695.104,4736.305151,72.58224112,-38.42293982,3249.992,125,207309.8194,1.22181769,915.2361622,834.0745018,2365.968,0.004806834,3253
84,3/30/14,-1550.89789,5.178546868,3069412.663,4743.826033,72.58172098,-38.46285381,3247.619632,163,225138.2451,1.117807788,720.3042881,921.7415744,920.9570552,0.004819763,3251
85,4/8/14,-812.0316432,6.245676208,3394147.439,4616.794185,72.59421888,-38.69950685,3238.5,114,259142.9129,1.975274702,3353.349143,939.7639987,2422.096491,0.004868485,3240
86,4/26/14,-1059.175179,6.113973906,3403757.304,4758.980385,72.59484825,-38.21700487,3259.408696,115,178264.3679,1.833038078,1248.382523,1033.622749,1178.478261,0.004880194,3262
87,5/6/14,-1401.840602,5.882291411,3285377.897,4760.694005,72.58230155,-38.43093959,3249.884848,165,224847.5561,1.700263945,1103.419337,959.5325276,2421.90303,0.004877197,3253
88,5/25/14,-1367.229249,5.744772976,3229538.384,4748.315069,72.5806722,-38.49491941,3247.184,125,220512.195,1.590895428,609.1706681,825.9999868,1034.6,0.004859799,3249
89,6/3/14,-1294.250326,5.710890183,3341723.192,4980.329988,72.57853273,-38.35953842,3253.05,120,204895.2421,1.382518988,1070.881898,998.9960492,2425.816667,0.004814953,3256
90,6/23/14,-1306.856039,5.4362037,3155124.257,4694.915931,72.58308324,-38.50073681,3245.861842,152,219475.7367,1.451722282,1524.221208,801.9629666,897.8157895,0.004804213,3249
91,7/2/14,-1359.968282,6.690680638,3383911.158,4733.94874,72.58882734,-38.60119547,3242.575,120,253995.9009,1.846125887,728.5981817,864.7868179,2427.466667,0.00481985,3244
92,7/26/14,-1377.124316,5.91165112,3242760.794,4813.285984,72.5842423,-38.40982643,3250.882911,316,221188.2567,1.736804687,882.3315432,991.7265049,1772.193038,0.004860308,3253
93,8/18/14,-919.3514485,6.074663645,3329936.254,4777.202916,72.5829984,-38.43696662,3249.81746,126,237303.1283,1.793219303,2934.050269,1160.459959,1089.81746,0.004885338,3252
94,8/27/14,-1266.940809,5.734311469,3245065.442,4741.888433,72.57900263,-38.2833647,3256.216667,120,217710.7184,1.598628524,1027.094092,879.0483434,2371.933333,0.004862903,3259
95,9/15/14,-1210.096147,7.29646903,3454185.919,4606.820236,72.57600721,-38.69055449,3239.216216,111,221899.0916,2.125631562,1943.802776,1014.310317,902.5225225,0.004840447,3242
96,9/25/14,-1544.28701,7.018578639,3502426.5,4802.862718,72.5867923,-38.54732713,3245.041667,120,220672.5716,2.144433438,2715.382924,1035.808529,2347.583333,0.004805676,3247
97,10/13/14,-1329.693106,5.88682376,3212201.058,4714.698683,72.58450875,-38.44438064,3249.22807,171,260897.5452,1.574215691,3652.610417,1058.146152,918.9415205,0.00480362,3252
98,10/23/14,-1354.51327,6.52255575,3393178.151,4825.08412,72.58467812,-38.45357851,3248.680233,172,220977.6731,1.893464775,864.9020442,953.5066762,2426.145349,0.004835822,3251
99,11/10/14,-1340.047917,6.010807292,3289972.395,4725.312183,72.58869495,-38.32438412,3255.117647,119,206054.2455,1.959393903,801.8606347,1000.919342,1033.907563,0.004854715,3257
100,11/20/14,-1250.357498,7.146494892,3563226.085,4939.365057,72.57538938,-38.25596371,3257.487179,117,205907.3564,2.192935156,1431.934875,902.82107,2431.196581,0.004884932,3260
